
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-01-01;17.928,92;1703130043064;18.469,26;1142791995964;18.456,12;1611845894876;17.730,21;334145700041;17.761,51;2437966296356
2010-01-02;17.928,92;1703130043064;18.469,26;1142791995964;18.456,12;1611845894876;17.730,21;334145700041;17.761,51;2437966296356
2010-01-03;17.928,92;1703130043064;18.469,26;1142791995964;18.456,12;1611845894876;17.730,21;334145700041;17.761,51;2437966296356
2010-01-04;17.935,86;1703770898579;18.479,11;1143018045359;18.461,79;1611326195876;17.733,95;334271170775;17.767,87;2437209207638
2010-01-05;17.988,23;1705777692171;18.538,85;1144320004178;18.517,01;1614796479323;17.766,64;334413444991;17.821,22;2466844789086
2010-01-06;18.056,77;1709515922760;18.624,31;1148669976011;18.589,91;1622169911841;17.824,45;334742860108;17.884,71;2475966279732
2010-01-07;18.060,61;1710145849357;18.629,26;1147889296631;18.601,44;1622072248836;17.827,99;334837454315;17.891,64;2477200837805
2010-01-08;18.067,13;1708908811702;18.626,16;1145975614197;18.605,09;1620826986559;17.832,57;334935569021;17.899,45;2469114652776
2010-01-09;18.067,13;1708908811702;18.626,16;1145975614197;18.605,09;1620826986559;17.832,57;334935569021;17.899,45;2469114652776
2010-01-10;18.067,13;1708908811702;18.626,16;1145975614197;18.605,09;1620826986559;17.832,57;334935569021;17.899,45;2469114652776
2010-01-11;18.093,65;1709639031966;18.648,35;1147104945000;18.637,88;1621255174990;17.855,09;335268113558;17.925,60;2471926593355
2010-01-12;18.121,43;1712068031735;18.668,97;1148033771145;18.664,58;1617891290738;17.876,79;335665519738;17.948,96;2471223588140
2010-01-13;18.098,39;1703895336448;18.635,39;1143438781462;18.635,38;1615940344444;17.868,93;333765304985;17.919,70;2467231518169
2010-01-14;18.085,60;1702634934666;18.623,16;1140867868439;18.622,28;1615015071031;17.857,23;333637161575;17.907,56;2466804929472
2010-01-15;18.117,90;1705366924750;18.655,30;1143287695247;18.663,42;1618901650158;17.880,80;333906084740;17.933,17;2470451759234
2010-01-16;18.117,90;1705366924750;18.655,30;1143287695247;18.663,42;1618901650158;17.880,80;333906084740;17.933,17;2470451759234
2010-01-17;18.117,90;1705366924750;18.655,30;1143287695247;18.663,42;1618901650158;17.880,80;333906084740;17.933,17;2470451759234
2010-01-18;18.092,84;1704958126467;18.625,73;1141557137108;18.631,23;1616058533709;17.856,75;333801408897;17.902,39;2468427982480
2010-01-19;18.095,01;1705620262899;18.627,52;1141927266400;18.635,44;1616189494941;17.860,81;333856465302;17.903,88;2467913722603
2010-01-20;18.111,70;1707748162057;18.645,15;1141834176598;18.645,09;1617063528847;17.871,17;334294945417;17.922,14;2469808747404
2010-01-21;18.085,89;1705911661658;18.618,14;1140109950425;18.619,50;1614310788267;17.858,12;334111574091;17.892,73;2466301542351
2010-01-22;18.057,54;1702924834827;18.587,69;1136983823961;18.594,01;1612239151969;17.844,91;333931215296;17.857,57;2461201823797
2010-01-23;18.057,54;1702924834827;18.587,69;1136983823961;18.594,01;1612239151969;17.844,91;333931215296;17.857,57;2461201823797
2010-01-24;18.057,54;1702924834827;18.587,69;1136983823961;18.594,01;1612239151969;17.844,91;333931215296;17.857,57;2461201823797
2010-01-25;18.028,89;1700222549421;18.560,59;1135614161298;18.573,62;1609655639718;17.838,43;333647147705;17.832,53;2456879803792
2010-01-26;18.034,71;1700797112309;18.566,57;1135433359733;18.571,94;1609138843339;17.835,00;333627989089;17.833,85;2456855126783
2010-01-27;18.014,23;1699238692470;18.547,38;1133588419818;18.555,03;1608467706644;17.845,13;333846052776;17.819,70;2455317633882
2010-01-28;18.027,98;1700698605938;18.575,81;1135477460499;18.579,52;1611559415699;17.862,12;334309359339;17.843,50;2459811611720
2010-01-29;18.067,36;1721572374875;18.625,02;1148499672802;18.612,92;1630111650376;17.907,23;338305434891;17.883,11;2465166183336
2010-01-30;18.067,36;1721572374875;18.625,02;1148499672802;18.612,92;1630111650376;17.907,23;338305434891;17.883,11;2465166183336
2010-01-31;18.067,36;1721572374875;18.625,02;1148499672802;18.612,92;1630111650376;17.907,23;338305434891;17.883,11;2465166183336
2010-02-01;18.017,06;1716204956312;18.563,17;1144498738428;18.543,36;1622909211842;17.856,22;337114679971;17.828,56;2456348987009
2010-02-02;18.081,52;1721612493891;18.625,90;1147932675544;18.607,75;1625576243963;17.909,64;338047700917;17.890,36;2488540571676
2010-02-03;18.132,56;1725682692821;18.671,17;1150946864927;18.655,92;1629490471566;17.944,99;338411937234;17.927,53;2493191335477
2010-02-04;18.191,74;1730334931398;18.734,95;1154342481338;18.715,68;1636098899527;17.992,44;339308781659;17.974,50;2498633607695
2010-02-05;18.161,03;1725434207055;18.668,37;1150111577245;18.676,86;1632162390662;17.965,80;338735571383;17.930,09;2492684702445
2010-02-06;18.161,03;1725434207055;18.668,37;1150111577245;18.676,86;1632162390662;17.965,80;338735571383;17.930,09;2492684702445
2010-02-07;18.161,03;1725434207055;18.668,37;1150111577245;18.676,86;1632162390662;17.965,80;338735571383;17.930,09;2492684702445
2010-02-08;18.056,04;1715426564255;18.572,97;1143743738233;18.554,83;1620554980928;17.866,82;336891768411;17.827,81;2475691449372
2010-02-09;18.042,67;1712657491444;18.558,72;1142405485948;18.551,79;1620541499735;17.858,59;336423200966;17.820,96;2474675722102
2010-02-10;18.110,66;1718332872062;18.634,18;1146021074384;18.625,37;1627388012103;17.918,92;337525524008;17.892,97;2474940955774
2010-02-11;18.078,04;1716470360131;18.622,51;1146567675039;18.594,33;1620174116964;17.895,37;337094500218;17.874,81;2471635580777
2010-02-12;18.091,91;1710964883734;18.644,57;1148621586711;18.609,12;1622236715705;17.912,62;335621847000;17.895,22;2473865920407
2010-02-13;18.091,91;1710964883734;18.644,57;1148621586711;18.609,12;1622236715705;17.912,62;335621847000;17.895,22;2473865920407
2010-02-14;18.091,91;1710964883734;18.644,57;1148621586711;18.609,12;1622236715705;17.912,62;335621847000;17.895,22;2473865920407
2010-02-15;18.082,58;1712284834656;18.646,59;1147143740659;18.605,39;1622464426011;17.903,13;335341722136;17.899,10;2475889361149
2010-02-16;18.056,84;1710548647608;18.638,97;1147327410017;18.587,03;1622055474890;17.895,11;335388342996;17.884,61;2473687165368
2010-02-17;18.120,46;1716837802655;18.701,54;1151162061045;18.663,11;1629122274348;17.952,73;336735935999;17.945,94;2484177655839
2010-02-18;18.174,78;1721436870843;18.754,98;1154318192552;18.720,93;1634218560927;18.000,29;337815309784;18.003,24;2493753286405
2010-02-19;18.229,01;1727532784022;18.796,62;1157089889069;18.767,36;1638199572777;18.032,92;338386150794;18.047,54;2500250599190
2010-02-20;18.229,01;1727532784022;18.796,62;1157089889069;18.767,36;1638199572777;18.032,92;338386150794;18.047,54;2500250599190
2010-02-21;18.229,01;1727532784022;18.796,62;1157089889069;18.767,36;1638199572777;18.032,92;338386150794;18.047,54;2500250599190
2010-02-22;18.240,62;1728520401304;18.802,71;1157630059713;18.768,85;1637933890869;18.036,01;338446254117;18.054,44;2502404274024
2010-02-23;18.231,10;1727950180958;18.809,26;1157524937179;18.773,55;1638742633053;18.032,37;338672452595;18.052,32;2502574078107
2010-02-24;18.195,03;1724861943108;18.769,93;1154367270120;18.728,95;1634374702476;18.003,20;338227935728;18.016,68;2498207683988
2010-02-25;18.212,02;1724252201372;18.786,66;1155609620497;18.737,27;1634483030620;18.018,30;338506942269;18.029,08;2500126788118
2010-02-26;18.184,70;1737126030087;18.761,67;1161017061799;18.698,61;1646444371752;17.996,07;341002175273;18.002,46;2496484111278
2010-02-27;18.184,70;1737126030087;18.761,67;1161017061799;18.698,61;1646444371752;17.996,07;341002175273;18.002,46;2496484111278
2010-02-28;18.184,70;1737126030087;18.761,67;1161017061799;18.698,61;1646444371752;17.996,07;341002175273;18.002,46;2496484111278
2010-03-01;18.227,63;1741209728251;18.818,67;1163651737959;18.751,26;1651381980857;18.028,19;341385930117;18.039,82;2499506948365
2010-03-02;18.235,08;1741827313275;18.825,37;1163588743478;18.755,96;1651591108135;18.022,32;341277768829;18.044,64;2520014900240
2010-03-03;18.270,18;1743097961400;18.867,80;1165968768498;18.804,36;1655496892819;18.056,28;342050996584;18.084,86;2525006735198
2010-03-04;18.269,92;1741954010503;18.871,11;1166165550298;18.821,75;1657208632760;18.065,40;342009241530;18.099,08;2527220388372
2010-03-05;18.261,37;1740418221713;18.858,05;1166108002168;18.809,46;1657564233139;18.061,79;341833166453;18.090,01;2527144196201
2010-03-06;18.261,37;1740418221713;18.858,05;1166108002168;18.809,46;1657564233139;18.061,79;341833166453;18.090,01;2527144196201
2010-03-07;18.261,37;1740418221713;18.858,05;1166108002168;18.809,46;1657564233139;18.061,79;341833166453;18.090,01;2527144196201
2010-03-08;18.300,46;1744170505756;18.890,77;1169060848258;18.842,44;1660605596068;18.086,74;342399855765;18.107,26;2529643373736
2010-03-09;18.312,95;1745389951657;18.905,30;1169662195731;18.866,87;1660879708180;18.109,17;342724100719;18.129,06;2524920028499
2010-03-10;18.335,03;1748152681536;18.922,58;1171438747620;18.882,28;1662486993869;18.132,22;343059200609;18.145,22;2525171249809
2010-03-11;18.377,08;1745770129546;18.956,82;1173419267002;18.926,62;1665553074632;18.164,21;343715863050;18.181,87;2530305754740
2010-03-12;18.413,08;1749149348418;18.991,70;1174140527811;18.965,32;1663490896757;18.197,84;342581691044;18.214,96;2535071221308
2010-03-13;18.413,08;1749149348418;18.991,70;1174140527811;18.965,32;1663490896757;18.197,84;342581691044;18.214,96;2535071221308
2010-03-14;18.413,08;1749149348418;18.991,70;1174140527811;18.965,32;1663490896757;18.197,84;342581691044;18.214,96;2535071221308
2010-03-15;18.386,76;1748384841547;18.963,02;1173487927348;18.958,14;1663581741774;18.178,93;341970357834;18.195,91;2534332817556
2010-03-16;18.367,11;1747078440043;18.944,88;1172889013712;18.930,59;1661487704160;18.163,30;341833424520;18.181,63;2532498909070
2010-03-17;18.425,21;1752762469966;19.003,45;1177043939972;18.991,27;1667917423849;18.213,50;342915281644;18.233,91;2541278905104
2010-03-18;18.496,42;1760125963506;19.077,83;1181485712221;19.061,02;1673595323788;18.278,40;344137891810;18.297,51;2550571303683
2010-03-19;18.488,65;1759798449101;19.074,19;1180832198557;19.044,45;1672632583495;18.265,22;344016421495;18.287,19;2548784097277
2010-03-20;18.488,65;1759798449101;19.074,19;1180832198557;19.044,45;1672632583495;18.265,22;344016421495;18.287,19;2548784097277
2010-03-21;18.488,65;1759798449101;19.074,19;1180832198557;19.044,45;1672632583495;18.265,22;344016421495;18.287,19;2548784097277
2010-03-22;18.476,46;1759024190259;19.046,11;1178975971530;19.015,54;1669758852089;18.244,09;343596793635;18.262,80;2546512782293
2010-03-23;18.493,30;1760517411931;19.071,92;1180129661382;19.034,08;1671643056830;18.279,25;344306282185;18.281,01;2551263548533
2010-03-24;18.519,05;1763039144789;19.094,04;1181417644342;19.066,63;1674647672743;18.296,52;344834828400;18.313,36;2557175934458
2010-03-25;18.512,43;1762888432706;19.075,14;1180335672501;19.034,24;1671547046207;18.274,34;344364542602;18.288,33;2553460226028
2010-03-26;18.500,60;1762114637494;19.066,13;1178462062292;19.022,67;1670701633306;18.268,64;344524239821;18.276,22;2554215551025
2010-03-27;18.500,60;1762114637494;19.066,13;1178462062292;19.022,67;1670701633306;18.268,64;344524239821;18.276,22;2554215551025
2010-03-28;18.500,60;1762114637494;19.066,13;1178462062292;19.022,67;1670701633306;18.268,64;344524239821;18.276,22;2554215551025
2010-03-29;18.515,93;1763200680697;19.084,88;1179466207721;19.034,87;1672177690362;18.279,86;344704251558;18.292,92;2556762450741
2010-03-30;18.560,61;1765446158848;19.126,76;1181920047977;19.086,50;1676312599064;18.310,22;345584476231;18.334,79;2563631823500
2010-03-31;18.573,38;1783904538978;19.139,21;1190126471861;19.102,24;1696014131459;18.312,01;348444055814;18.346,34;2565570194464
2010-04-01;18.581,88;1784348842666;19.144,10;1189982789037;19.113,69;1696315809378;18.320,59;348409032251;18.347,84;2563648420283
2010-04-02;18.581,88;1784348842666;19.144,10;1189982789037;19.113,69;1696315809378;18.320,59;348409032251;18.347,84;2563648420283
2010-04-03;18.581,88;1784348842666;19.144,10;1189982789037;19.113,69;1696315809378;18.320,59;348409032251;18.347,84;2563648420283
2010-04-04;18.581,88;1784348842666;19.144,10;1189982789037;19.113,69;1696315809378;18.320,59;348409032251;18.347,84;2563648420283
2010-04-05;18.625,72;1786571852094;19.194,72;1192402582375;19.170,08;1699488659135;18.357,64;349177770714;18.392,59;2597937397769
2010-04-06;18.646,96;1787412409385;19.216,89;1192963494735;19.186,60;1700634289373;18.373,08;349422103118;18.411,00;2600304572524
2010-04-07;18.677,46;1789437477098;19.256,71;1195072780312;19.226,37;1703377903493;18.403,95;350022974162;18.439,18;2605258133602
2010-04-08;18.656,12;1787988875260;19.224,66;1192332875146;19.210,28;1700565183173;18.385,26;348946663055;18.416,62;2600072266652
2010-04-09;18.629,26;1784914341693;19.204,55;1190589795712;19.157,98;1695360369722;18.347,95;347930612187;18.388,89;2587629425707
2010-04-10;18.629,26;1784914341693;19.204,55;1190589795712;19.157,98;1695360369722;18.347,95;347930612187;18.388,89;2587629425707
2010-04-11;18.629,26;1784914341693;19.204,55;1190589795712;19.157,98;1695360369722;18.347,95;347930612187;18.388,89;2587629425707
2010-04-12;18.645,30;1780018971153;19.225,65;1189254682586;19.174,39;1691292059510;18.364,61;348139764033;18.408,61;2590052670010
2010-04-13;18.655,81;1781468710782;19.230,95;1189253571067;19.196,05;1691707411356;18.379,09;346581360941;18.422,62;2591086884414
2010-04-14;18.645,81;1780187615730;19.221,63;1189321874949;19.186,46;1691420350398;18.372,81;346350451268;18.413,55;2589741494826
2010-04-15;18.686,53;1783388424870;19.265,54;1193609196297;19.226,59;1693801215458;18.409,40;346741271488;18.459,91;2595996741364
2010-04-16;18.736,93;1788073289883;19.307,96;1196707570479;19.269,60;1697591352215;18.453,84;348041873640;18.503,28;2602245345002
2010-04-17;18.736,93;1788073289883;19.307,96;1196707570479;19.269,60;1697591352215;18.453,84;348041873640;18.503,28;2602245345002
2010-04-18;18.736,93;1788073289883;19.307,96;1196707570479;19.269,60;1697591352215;18.453,84;348041873640;18.503,28;2602245345002
2010-04-19;18.681,87;1783861850082;19.256,47;1193151188816;19.226,27;1694453759006;18.409,98;347353995490;18.453,99;2598658489817
2010-04-20;18.665,11;1782176555520;19.235,07;1191293977690;19.189,85;1690851709480;18.394,07;347209035373;18.432,63;2595069428258
2010-04-21;18.732,46;1787769275151;19.302,95;1195394945835;19.249,39;1695299398482;18.443,67;348363965968;18.489,15;2602466274010
2010-04-22;18.728,18;1786358625769;19.298,47;1193881458755;19.244,35;1693556070217;18.428,42;348039203518;18.478,57;2600813487429
2010-04-23;18.687,50;1782082109623;19.262,06;1190180684716;19.203,10;1690039092144;18.387,22;347244704108;18.441,78;2595500605076
2010-04-24;18.687,50;1782082109623;19.262,06;1190180684716;19.203,10;1690039092144;18.387,22;347244704108;18.441,78;2595500605076
2010-04-25;18.687,50;1782082109623;19.262,06;1190180684716;19.203,10;1690039092144;18.387,22;347244704108;18.441,78;2595500605076
2010-04-26;18.713,81;1783861372900;19.288,58;1191453380316;19.239,26;1692549627779;18.417,22;347471273861;18.469,98;2599352905437
2010-04-27;18.726,26;1784977685198;19.298,42;1191072831736;19.246,73;1694101628150;18.419,49;347560582812;18.477,44;2601109027344
2010-04-28;18.663,22;1779338446559;19.252,37;1187479402389;19.164,08;1686359003172;18.379,01;346853839210;18.417,62;2593194188799
